"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Rishwanth_Adhishwar_K_27_08_2026 To Check the MyCourse Fuctionalities of learner","6","0","","0"
"1","","0","Participant Feature","4","0","","0"
"1","","0","Trainer Login Functionality","6","0","","0"
"3","","0","Trainer Feature","2","0","","0"
"0","","0","Rishwanth_Adhishwar_K_24_08_2026 To Check the Sign-in Functionality of an Learner","5","0","","0"
"0","","0","Rishwanth_Adhishwar_K_25_08_2026 To Check the Course_Enrollment Functionality of an Learner","4","0","","0"
"0","","0","Trainer Generates Course Structure via AI Prompt","2","0","","0"
"2","","0","Trainer Adds a Module to a Course","0","0","","0"
"0","","0","Rishwanth_Adhishwar_K_25_08_2026 To Check the Sign-out Functionality of an Learner","1","0","","0"
"1","","0","Haritha_25_08_2026 To Check the certificate Functionality of an Learner","0","0","","0"
"1","","0","Trainer Creates a Quiz Manually","0","0","","0"
